node_idx,Airport_ID,Src_cap,Des_cap,Name,City,Country,IATA,Latitude,Longitude
860,6080.0,48.0,48.0,Virgin Gorda Airport,Spanish Town,British Virgin Islands,VIJ,18.446399688720703,-64.42749786376953
861,6788.0,40.0,40.0,Vieques Airport,Vieques Island,Puerto Rico,VQS,18.1158008575,-65.4226989746
862,8227.0,0.0,0.0,Birchwood Airport,Belmopan,Belize,,61.41650009,-149.5070038
863,1957.0,1746.5,1746.5,Philip S. W. Goldson International Airport,Belize City,Belize,BZE,17.539100646972653,-88.30819702148438
864,4024.0,0.0,0.0,Mundo Maya International Airport,Flores,Guatemala,FRS,16.913799285899998,-89.86640167239997
865,1774.0,1337.0,1318.0,Juan Manuel Galvez International Airport,Roatan,Honduras,RTB,16.316799,-86.523003
866,1772.0,2196.75,2196.75,Ramón Villeda Morales International Airport,San Pedro Sula,Honduras,SAP,15.4526,-87.923599
867,5807.0,30.0,30.0,JAGS McCartney International Airport,Cockburn Town,Turks and Caicos Islands,GDT,21.444499969482425,-71.14230346679688
868,1754.0,3463.0,3463.0,Providenciales Airport,Providenciales,Turks and Caicos Islands,PLS,21.77359962463379,-72.26589965820312
869,5809.0,0.0,0.0,Salt Cay Airport,Salt Cay,Turks and Caicos Islands,SLX,21.3330001831,-71.1999969482
870,6740.0,38.0,38.0,Araracuara Airport,Araracuara,Colombia,ACR,-0.5833,-72.4083
871,2749.0,1155.0,1207.0,Gustavo Rojas Pinilla International Airport,San Andres Island,Colombia,ADZ,12.5836,-81.7112
872,2726.0,226.0,226.0,Antonio Roldan Betancourt Airport,Carepa,Colombia,APO,7.811960000000001,-76.7164
873,2752.0,120.0,120.0,Santiago Perez Airport,Arauca,Colombia,AUC,7.06888,-70.7369
874,2711.0,50.0,50.0,José Celestino Mutis Airport,Bahia Solano,Colombia,BSC,6.20292,-77.3947
875,2712.0,100.0,100.0,Gerardo Tobar López Airport,Buenaventura,Colombia,BUN,3.81963,-76.9898
876,2717.0,124.0,124.0,Las Brujas Airport,Corozal,Colombia,CZU,9.33274,-75.2856
877,2729.0,535.0,535.0,Enrique Olaya Herrera Airport,Medellin,Colombia,EOH,6.220549,-75.590582
878,2719.0,124.0,124.0,Gustavo Artunduaga Paredes Airport,Florencia,Colombia,FLA,1.5891899999999999,-75.5644
879,2722.0,100.0,100.0,Juan Casiano Airport,Guapi,Colombia,GPI,2.57013,-77.8986
880,2725.0,19.0,19.0,San Luis Airport,Ipiales,Colombia,IPI,0.861925,-77.6718
881,2728.0,423.3333333333333,423.3333333333333,Alfredo Vásquez Cobo International Airport,Leticia,Colombia,LET,-4.19355,-69.9432
882,6052.0,19.0,19.0,La Pedrera Airport,La Pedrera,Colombia,LPD,-1.32861,-69.5797
883,6051.0,50.0,50.0,Caucaya Airport,Puerto Leguízamo,Colombia,LQM,-0.182278,-74.7708
884,2732.0,194.0,194.0,Fabio Alberto Leon Bentley Airport,Mitu,Colombia,MVP,1.25366,-70.2339
885,6053.0,19.0,19.0,Reyes Murillo Airport,Nuquí,Colombia,NQU,5.6964,-77.2806
886,2738.0,190.0,190.0,German Olano Airport,Puerto Carreno,Colombia,PCR,6.1847199999999996,-67.4932
887,6054.0,190.0,190.0,Obando Airport,Puerto Inírida,Colombia,PDA,3.85353,-67.9062
888,2742.0,251.0,251.0,Antonio Narino Airport,Pasto,Colombia,PSO,1.39625,-77.2915
889,2706.0,190.0,190.0,Tres De Mayo Airport,Puerto Asis,Colombia,PUU,0.505228,-76.5008
890,2743.0,19.0,19.0,El Embrujo Airport,Providencia,Colombia,PVA,13.3569,-81.3583
891,7355.0,100.0,100.0,Los Colonizadores Airport,Saravena,Colombia,RVE,6.951867999999999,-71.857179
892,2747.0,100.0,100.0,Jorge E. Gonzalez Torres Airport,San Jose Del Guaviare,Colombia,SJE,2.5796900000000003,-72.6394
893,2750.0,38.0,38.0,Eduardo Falla Solano Airport,San Vincente De Caguan,Colombia,SVI,2.15217,-74.7663
894,2751.0,100.0,100.0,Gustavo Vargas Airport,Tame,Colombia,TME,6.45108,-71.7603
895,2753.0,302.0,302.0,El Caraño Airport,Quibdo,Colombia,UIB,5.69076,-76.6412
896,7359.0,50.0,50.0,Villa Garzón Airport,Villa Garzon,Colombia,VGZ,0.978767,-76.6056
897,2756.0,419.5,419.5,Vanguardia Airport,Villavicencio,Colombia,VVC,4.16787,-73.6138
898,1367.0,10662.0,10662.0,Paris Beauvais Tillé Airport,Beauvais,France,BVA,49.45439910888672,2.1127800941467285
899,2939.0,13961.283333333333,13854.283333333333,Boryspil International Airport,Kiev,Ukraine,KBP,50.34500122070313,30.89469909667969
900,1735.0,3579.0,3577.0,Chişinău International Airport,Chisinau,Moldova,KIV,46.92770004272461,28.93099975585937
901,1657.0,13991.4,14172.000000000002,Henri Coandă International Airport,Bucharest,Romania,OTP,44.5711111,26.085
902,2821.0,1444.0,1444.0,General José Antonio Anzoategui International Airport,Barcelona,Venezuela,BLA,10.111111,-64.692222
903,2822.0,195.66666666666669,195.66666666666669,Barinas Airport,Barinas,Venezuela,BNS,8.615,-70.21416667
904,2849.0,124.0,124.0,Alberto Carnevalli Airport,Merida,Venezuela,MRD,8.582078,-71.161041
905,2850.0,2197.5,2082.5,Del Caribe Santiago Mariño International Airport,Porlamar,Venezuela,PMV,10.912603378295898,-63.96659851074219
906,1871.0,16635.083333333332,16565.083333333332,Tocumen International Airport,Panama City,Panama,PTY,9.0713596344,-79.3834991455
907,2856.0,1338.5,1338.5,General Manuel Carlos Piar International Airport,Guayana,Venezuela,PZO,8.288530349731445,-62.7603988647461
908,2870.0,124.0,124.0,Dr. Antonio Nicolás Briceño Airport,Valera,Venezuela,VLV,9.34047794342041,-70.58406066894531
